step,epoch,loss,lr,grad_norm,elapsed,analogy_acc
10000,1,2.704505,0.024796,0.246191,93.8,
20000,1,2.780257,0.024592,0.141249,187.4,
30000,1,2.652661,0.024388,0.126278,280.3,
40000,1,2.635740,0.024183,0.140600,373.0,
50000,1,2.176030,0.023979,0.136590,482.2,
50000,1,,,,514.2,0.008134
60000,2,2.349313,0.023775,0.259669,613.3,
70000,2,2.085551,0.023571,0.215992,718.1,
80000,2,2.331474,0.023367,0.152047,820.6,
90000,2,2.392377,0.023163,0.174680,924.1,
100000,2,2.582421,0.022958,0.153530,1030.7,
100000,2,,,,1061.8,0.032254
110000,3,1.872825,0.022754,0.157951,1170.1,
120000,3,2.333526,0.022550,0.195022,1273.7,
130000,3,1.912925,0.022346,0.230382,1388.1,
140000,3,2.373623,0.022142,0.173711,1505.6,
150000,3,2.688742,0.021938,0.204728,1617.6,
150000,3,,,,1650.1,0.065182
160000,3,1.838036,0.021733,0.194789,1754.0,
170000,4,2.274848,0.021529,0.167225,1856.6,
180000,4,2.197927,0.021325,0.186473,1958.1,
190000,4,2.136233,0.021121,0.191841,2066.3,
200000,4,2.056449,0.020917,0.220910,2167.0,
200000,4,,,,2197.7,0.093173
210000,4,2.406448,0.020713,0.184846,2298.3,
220000,5,2.313617,0.020508,0.185187,2402.0,
230000,5,2.558709,0.020304,0.214169,2502.5,
240000,5,2.316266,0.020100,0.196627,2604.7,
250000,5,1.997479,0.019896,0.215225,2715.7,
250000,5,,,,2747.4,0.116060
260000,5,1.864682,0.019692,0.180991,2885.3,
270000,5,2.398726,0.019488,0.188361,3009.6,
